StockCode,Description,Total_Quantity,Num_Transactions,Avg_UnitPrice,Num_Customers,Revenue,Popular
16235,RECYCLED PENCIL WITH RABBIT ERASER,2665,80,0.2139506172839506,68,570.1783950617283,1
16236,KITTY PENCIL ERASERS,1296,73,0.20931506849315068,59,271.27232876712327,1
16237,SLEEPING CAT ERASERS,4598,162,0.20615384615384613,109,947.8953846153845,1
16238,PARTY TIME PENCIL ERASERS,1261,78,0.23562499999999997,61,297.12312499999996,1
16244B,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,7,2,1.225,2,8.575000000000001,0
16248B,BLUE HOLE PUNCH,13,7,1.25,7,16.25,0
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,31,9,1.0233333333333332,7,31.72333333333333,0
16258A,SWIRLY CIRCULAR RUBBERS IN BAG,445,38,0.45921052631578946,29,204.3486842105263,1
16259,PIECE OF CAMO STATIONERY SET,3380,31,0.0967741935483871,28,327.09677419354836,1
17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,72,1,0.29,1,20.88,0
17003,BROCADE RING PURSE ,22963,206,0.3200956937799043,136,7350.357416267943,1
17007B,S/3 POT POURI CUSHIONS BLUE COLOURS,24,2,2.1,2,50.400000000000006,0
17011F,ORIGAMI SANDLEWOOD INCENSE+FLOWER,80,6,1.1333333333333335,6,90.66666666666669,0
17012A,ORIGAMI VANILLA INCENSE/CANDLE SET ,270,24,1.1079999999999999,21,299.15999999999997,0
17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,455,36,1.0763888888888888,33,489.7569444444444,1
17012C,ORIGAMI LAVENDER INCENSE/CANDL SET ,363,43,1.1511363636363636,37,417.8625,1
17012D,ORIGAMI ROSE INCENSE/CANDLE SET ,387,44,1.108695652173913,35,429.0652173913044,1
17012E,ORIGAMI OPIUM INCENSE/CANDLE SET ,59,3,1.525,3,89.975,0
17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,365,42,1.0035714285714286,33,366.30357142857144,1
17013D,ORIGAMI ROSE INCENSE IN TUBE,532,11,0.8672727272727272,10,461.3890909090909,1
17014A,ORIGAMI VANILLA INCENSE CONES,154,7,0.6071428571428571,7,93.49999999999999,0
17021,NAMASTE SWAGAT INCENSE,2427,47,0.2947368421052632,30,715.3263157894737,1
17028J,INCENSE BAZAAR PEACH,6,1,0.42,1,2.52,0
17038,PORCELAIN BUDAH INCENSE HOLDER,1501,19,0.09526315789473684,18,142.99,1
17084A,TRANQUILITY MASALA INCENSE,200,7,0.21,7,42.0,0
17084J,LOVE POTION MASALA INCENSE,225,8,0.21,8,47.25,0
17084N,FAIRY DREAMS INCENSE ,1025,32,0.2084375,25,213.6484375,1
17084P,DRAGONS BLOOD INCENSE,349,13,0.21,12,73.28999999999999,1
17084R,ASSORTED INCENSE PACK,4032,27,0.20259259259259257,16,816.8533333333332,1
17090A,LAVENDER INCENSE 40 CONES IN TIN,109,10,1.17,9,127.52999999999999,0
17090D,VANILLA INCENSE 40 CONES IN TIN,29,12,1.25,6,36.25,0
17091A,LAVENDER INCENSE IN TIN,172,25,0.7815384615384615,19,134.42461538461538,0
17091J,VANILLA INCENSE IN TIN,2066,87,0.5476923076923077,66,1131.5323076923078,1
17096,ASSORTED LAQUERED INCENSE HOLDERS,2516,13,0.20076923076923076,12,505.13538461538457,1
17107D,FLOWER FAIRY 5 DRAWER LINERS,60,20,2.55,18,153.0,0
17107D,FLOWER FAIRY 5 SUMMER DRAW LINERS,6,1,2.55,1,15.299999999999999,0
17107D,"FLOWER FAIRY,5 SUMMER B'DRAW LINERS",105,25,2.55,24,267.75,0
17109D,FLOWER FAIRY INCENSE BOUQUET,61,5,0.9039999999999999,4,55.14399999999999,0
17129F,BLUE GLASS GEMS IN BAG,427,19,0.8436842105263158,11,360.25315789473683,1
17136A,BLUE STONES ON WIRE FOR CANDLE,404,17,0.0995,16,40.198,1
17164B,ASS COL SMALL SAND GECKO P'WEIGHT,29,9,0.42000000000000004,9,12.180000000000001,0
17165D,ASS COL LARGE SAND FROG P'WEIGHT,27,7,1.05,6,28.35,0
17174,ASSTD RASTA KEY-CHAINS,9,3,0.42,3,3.78,0
17191A,ROSE FLOWER CANDLE+INCENSE 16X16CM,4,2,3.75,1,15.0,0
18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,5856,17,0.16666666666666666,15,976.0,1
18094C,WHITE AND BLUE CERAMIC OIL BURNER,134,15,1.1966666666666665,13,160.35333333333332,0
18097A,PINK TALL PORCELAIN T-LIGHT HOLDER ,5,4,2.55,4,12.75,0
18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,673,52,2.5071428571428567,43,1687.3071428571425,1
18098C,PORCELAIN BUTTERFLY OIL BURNER,193,36,2.918421052631579,24,563.2552631578948,0
20615,BLUE POLKADOT PASSPORT COVER,231,35,1.4831428571428573,28,342.60600000000005,0
20616,CHERRY BLOSSOM PASSPORT COVER,134,25,1.3172,19,176.5048,0
20617,FIRST CLASS PASSPORT COVER ,66,26,2.224615384615385,20,146.8246153846154,0
20618,QUEEN OF THE SKIES PASSPORT COVER ,68,28,2.0707142857142857,20,140.80857142857144,0
20619,TROPICAL PASSPORT COVER ,142,22,2.309090909090909,16,327.8909090909091,0
20622,VIP PASSPORT COVER ,35,11,2.1,8,73.5,0
20622,VIPPASSPORT COVER ,128,21,1.94,18,248.32,0
20652,BLUE POLKADOT LUGGAGE TAG ,150,33,1.4180555555555554,26,212.70833333333331,0
20653,CHERRY BLOSSOM LUGGAGE TAG,33,6,1.6533333333333333,5,54.56,0
20654,FIRST CLASS LUGGAGE TAG ,105,23,1.2341666666666666,21,129.5875,0
20655,QUEEN OF SKIES LUGGAGE TAG,89,34,1.31,20,116.59,0
20657,TROPICAL LUGGAGE TAG,61,22,1.3513636363636363,20,82.43318181818182,0
20658,RED RETROSPOT LUGGAGE TAG,328,59,1.25,44,410.0,0
20659,ECONOMY LUGGAGE TAG,95,29,1.540625,18,146.359375,0
20661,BLUE POLKADOT PURSE ,9,5,4.654,3,41.885999999999996,0
20662,FIRST CLASS HOLIDAY PURSE ,11,5,4.086,4,44.946000000000005,0
20663,QUEEN OF THE SKIES HOLIDAY PURSE ,3,3,3.896666666666667,3,11.690000000000001,0
20664,TROPICAL HOLIDAY PURSE ,6,3,2.9500000000000006,3,17.700000000000003,0
20665,RED RETROSPOT PURSE ,340,73,2.944520547945206,58,1001.13698630137,0
20666,ECONOMY HOLIDAY PURSE,4,4,2.95,4,11.8,0
20667,CHERRY BLOSSOM PURSE,1,1,2.95,1,2.95,0
20668,DISCO BALL CHRISTMAS DECORATION,12714,181,0.11851063829787233,111,1506.7442553191488,1
20669,RED HEART LUGGAGE TAG,195,42,1.25,36,243.75,0
20670,VIP HOLIDAY PURSE,8,6,3.896666666666667,5,31.173333333333336,0
20671,BLUE TEATIME PRINT BOWL ,10,2,1.25,2,12.5,0
20674,GREEN POLKADOT BOWL,1373,149,1.2517105263157895,101,1718.598552631579,1
20675,BLUE POLKADOT BOWL,2729,223,1.2419026548672567,149,3389.1523451327434,1
20676,RED RETROSPOT BOWL,4363,298,1.2438157894736843,185,5426.7682894736845,1
20677,PINK POLKADOT BOWL,3159,220,1.2583482142857143,133,3975.1220089285716,1
20678,LARGE BLACK DIAMANTE HAIRSLIDE,4,1,1.65,1,6.6,0
20679,EDWARDIAN PARASOL RED,1630,270,5.920369003690038,141,9650.201476014761,1
20681,PINK POLKADOT CHILDRENS UMBRELLA,125,33,3.25,29,406.25,0
20682,RED RETROSPOT CHILDRENS UMBRELLA,1140,182,3.312950819672131,138,3776.7639344262293,1
20684,STRAWBERRY DREAM CHILDS UMBRELLA,78,32,3.25,30,253.5,0
20685,DOORMAT RED RETROSPOT,3901,576,7.75979274611399,329,30270.951502590677,1
20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,255,64,3.302,51,842.01,0
20694,FLORAL PINK MONSTER,36,10,3.75,9,135.0,0
20695,FLORAL BLUE MONSTER,5,4,4.25,4,21.25,0
20696,FLORAL SOFT CAR TOY,32,10,3.75,10,120.0,0
20697,LITTLE GREEN MONSTER SOFT TOY,19,9,2.55,8,48.449999999999996,0
20698,LITTLE PINK MONSTER SOFT TOY,16,7,2.55,7,40.8,0
20699,MOUSEY LONG LEGS SOFT TOY,29,11,2.55,11,73.94999999999999,0
20700,GREEN CAT FLORAL CUSHION COVER ,10,4,3.75,4,37.5,0
20701,PINK CAT FLORAL CUSHION COVER ,6,3,3.75,3,22.5,0
20702,PINK PADDED MOBILE,128,40,4.25,31,544.0,0
20703,BLUE PADDED SOFT MOBILE,1,1,4.25,1,4.25,0
20704,MR ROBOT SOFT TOY,211,39,4.77051282051282,38,1006.5782051282051,0
20705,MRS ROBOT SOFT TOY,143,28,4.807142857142857,27,687.4214285714286,0
20707,CRAZY DAISY HEART DECORATION,155,31,1.5438709677419356,20,239.3,0
20711,JUMBO BAG TOYS ,4198,245,2.01331983805668,152,8451.916680161943,1
20712,JUMBO BAG WOODLAND ANIMALS,8187,492,2.0361971830985914,248,16670.34633802817,1
20713,JUMBO BAG OWLS,10466,411,2.0192874109263657,207,21133.862042755343,1
20716,PARTY FOOD SHOPPER BAG,314,34,1.2445714285714287,31,390.7954285714286,0
20717,STRAWBERRY SHOPPER BAG,2036,231,1.2759322033898306,150,2597.7979661016952,1
20718,RED RETROSPOT SHOPPER BAG,4264,384,1.2658717948717948,236,5397.677333333333,1
20719,WOODLAND CHARLOTTE BAG,9237,531,0.8454761904761905,238,7809.663571428571,1
20723,STRAWBERRY CHARLOTTE BAG,6847,492,0.86014,230,5889.3785800000005,1
20724,RED RETROSPOT CHARLOTTE BAG,12809,739,0.8493075898801596,335,10878.780918774964,1
20725,LUNCH BAG RED RETROSPOT,17697,1288,1.658966565349544,532,29358.73130699088,1
20725,LUNCH BAG RED SPOTTY,200,1,1.45,1,290.0,0
20726,LUNCH BAG WOODLAND,9115,820,1.6592636579572446,372,15124.188242280285,1
20727,LUNCH BAG  BLACK SKULL.,11291,1052,1.6438461538461537,458,18560.666923076922,1
20728,LUNCH BAG CARS BLUE,10820,966,1.656875631951466,479,17927.39433771486,1
20731,POSY CANDY BAG,74,8,1.25,8,92.5,0
20733,GOLD MINI TAPE MEASURE ,918,46,0.8391836734693877,30,770.3706122448979,1
20735,BLACK MINI TAPE MEASURE ,158,30,0.8456666666666667,11,133.61533333333333,0
20748,KENSINGTON COFFEE SET,53,30,12.75,26,675.75,0
20749,ASSORTED COLOUR MINI CASES,1719,365,7.790978260869565,239,13392.691630434781,1
20750,RED RETROSPOT MINI CASES,1712,365,7.749455040871935,235,13267.067029972754,1
20751,FUNKY WASHING UP GLOVES ASSORTED,973,171,2.0958375634517767,127,2039.2499492385787,1
20752,BLUE POLKADOT WASHING UP GLOVES,367,115,2.1,91,770.7,1
20754,RETROSPOT RED WASHING UP GLOVES,1356,239,2.0898765432098765,153,2833.8725925925924,1
20755,BLUE PAISLEY POCKET BOOK,292,50,0.85,44,248.2,0
20756,GREEN FERN POCKET BOOK,63,22,0.85,20,53.55,0
20757,RED DAISY POCKET BOOK ,164,30,0.8736363636363635,30,143.2763636363636,0
20758,ABSTRACT CIRCLES POCKET BOOK,161,41,0.85,35,136.85,0
20759,CHRYSANTHEMUM POCKET BOOK ,64,20,0.85,17,54.4,0
20760,GARDEN PATH POCKET BOOK,69,21,0.85,18,58.65,0
20761,BLUE PAISLEY SKETCHBOOK,110,52,3.8174545454545457,46,419.92,0
20762,GREEN FERN SKETCHBOOK ,101,51,3.8227450980392157,42,386.0972549019608,0
20763,DAISY SKETCHBOOK ,71,25,3.6984,24,262.58639999999997,0
20764,ABSTRACT CIRCLES SKETCHBOOK ,128,60,3.9295161290322578,45,502.978064516129,0
20765,CHRYSANTHEMUM SKETCHBOOK ,96,51,3.96,45,380.15999999999997,0
20766,GARDEN PATH SKETCHBOOK,113,47,3.8824,41,438.7112,0
20767,BLUE PAISLEY JOURNAL ,217,58,2.6216393442622947,50,568.8957377049179,0
20768,GREEN FERN JOURNAL ,131,36,2.6029729729729727,31,340.9894594594594,0
20769,DAISY JOURNAL ,66,26,2.6426923076923075,21,174.41769230769228,0
20770,ABSTRACT CIRCLE JOURNAL ,108,28,2.5344827586206895,24,273.7241379310345,0
20771,CHRYSANTHEMUM  JOURNAL,71,27,2.636071428571429,21,187.16107142857146,0
20772,GARDEN PATH JOURNAL,218,46,2.592608695652174,40,565.1886956521739,0
20773,BLUE PAISLEY NOTEBOOK,56,23,1.6499999999999997,21,92.39999999999998,0
20774,GREEN FERN NOTEBOOK,52,22,1.65,21,85.8,0
20775,DAISY NOTEBOOK ,64,20,1.65,19,105.6,0
20777,CHRYSANTHEMUM NOTEBOOK,95,36,1.65,32,156.75,0
20778,GARDEN PATH NOTEBOOK ,15,8,1.65,8,24.75,0
20780,BLACK EAR MUFF HEADPHONES,37,17,5.724736842105264,13,211.81526315789475,0
20781,GOLD EAR MUFF HEADPHONES,32,20,4.874347826086956,19,155.9791304347826,0
20782,CAMOUFLAGE EAR MUFF HEADPHONES,40,17,5.587777777777777,12,223.5111111111111,0
20785,FUSCHIA RETRO BAR STOOL,14,5,39.15,4,548.1,0
20793,BLUE TILED TRAY,8,4,6.75,4,54.0,0
20794,BLUE  TILE HOOK,85,15,2.5218749999999996,15,214.35937499999997,0
20795,LARGE BLUE PROVENCAL CERAMIC BALL,44,8,2.1,6,92.4,0
20796,SMALL BLUE PROVENCAL CERAMIC BALL,61,8,1.65,8,100.64999999999999,0
20798,CLEAR MILKSHAKE GLASS,36,5,2.1,5,75.60000000000001,0
20801,LARGE PINK GLASS SUNDAE DISH,848,54,0.9405454545454546,47,797.5825454545454,1
20802,SMALL GLASS SUNDAE DISH CLEAR,648,44,1.4686363636363635,40,951.6763636363636,1
20803,SMALL PINK GLASS SUNDAE DISH,917,31,0.515625,26,472.828125,1
20816,GOLD FLOWER CUSHION COVER ,8,2,1.95,1,15.6,0
20818,GOLD TEDDY BEAR,12,2,2.5,2,30.0,0
20819,SILVER TEDDY BEAR,48,16,3.981875,14,191.13,0
20820,SILVER LOOKING MIRROR,5,2,4.95,2,24.75,0
20821,GOLDIE LOOKING MIRROR,16,5,4.95,5,79.2,0
20823,GOLD WINE GOBLET,164,7,0.79,6,129.56,0
20826,SILVER APERITIF GLASS,276,8,0.8225,7,227.01,0
20827,GOLD APERITIF GLASS,88,2,0.39,1,34.32,0
20828,GLITTER BUTTERFLY CLIPS,1012,177,2.540322580645161,116,2570.806451612903,1
20829,GLITTER HANGING BUTTERFLY STRING,1265,163,2.1527810650887576,90,2723.2680473372784,1
20830,SILVER PHOTO FRAME,75,20,2.1,19,157.5,0
20831,GOLD PHOTO FRAME,169,24,1.8645833333333333,19,315.1145833333333,0
20832,RED FLOCK LOVE HEART PHOTO FRAME,1034,55,0.5745614035087719,47,594.0964912280701,1
20835,FRENCH LATTICE CUSHION COVER ,66,7,0.83,7,54.779999999999994,0
20836,FRENCH PAISLEY CUSHION COVER,170,17,0.83,14,141.1,0
20837,FRENCH FLORAL CUSHION COVER ,141,15,0.9713333333333334,14,136.958,0
20838,FRENCH LATTICE CUSHION COVER ,330,33,0.9239393939393938,30,304.9,0
20839,FRENCH PAISLEY CUSHION COVER ,452,49,0.9855102040816326,44,445.4506122448979,1
20840,FRENCH FLORAL CUSHION COVER ,464,43,0.9609090909090909,35,445.8618181818182,1
20845,ZINC HEART LATTICE 2 WALL PLANTER,19,11,6.35,7,120.64999999999999,0
20846,ZINC HEART LATTICE T-LIGHT HOLDER,647,62,1.26,50,815.22,1
20847,ZINC HEART LATTICE CHARGER LARGE,46,14,3.75,12,172.5,0
20848,ZINC HEART LATTICE CHARGER SMALL,21,8,2.95,7,61.95,0
20851,ZINC HEART LATTICE TRAY OVAL ,9,7,5.95,5,53.550000000000004,0
20854,BLUE PATCH PURSE PINK HEART,166,17,1.6388888888888888,16,272.05555555555554,0
20856,DENIM PATCH PURSE PINK BUTTERFLY,140,27,1.65,26,231.0,0
20857,BLUE ROSE PATCH PURSE PINK BUTTERFL,32,8,1.65,7,52.8,0
20861,GOLD COSMETIC BAG PINK STAR,2,2,2.1,2,4.2,0
20866,BLUE ROSE FABRIC MIRROR,409,37,1.3036842105263158,34,533.2068421052631,1
20867,PINK ROSE FABRIC MIRROR,187,25,1.2424,23,232.3288,0
20868,SILVER FABRIC MIRROR,381,31,0.567741935483871,29,216.30967741935484,1
20869,GOLD FABRIC MIRROR,139,17,0.39,17,54.21,0
20878,SET/9 CHRISTMAS T-LIGHTS SCENTED ,25,7,1.25,7,31.25,0
20886,BOX OF 9 PEBBLE CANDLES,453,77,1.9462025316455696,56,881.629746835443,1
20892,SET/3 TALL GLASS CANDLE HOLDER PINK,1,1,12.75,1,12.75,0
20893,HANGING BAUBLE T-LIGHT HOLDER SMALL,259,19,2.4825,16,642.9675,0
20894,HANGING BAUBLE T-LIGHT HOLDER LARGE,25,9,2.95,9,73.75,0
20897,VINTAGE NOTEBOOK PARIS DAYS,85,8,2.9000000000000004,8,246.50000000000003,0
20898,VINTAGE NOTEBOOK TRAVELOGUE,25,4,2.95,4,73.75,0
20901,VINTAGE KEEPSAKE BOX PINK FLOWER,4,2,6.349999999999999,2,25.399999999999995,0
20902,VINTAGE KEEPSAKE BOX PARIS DAYS,33,6,6.216666666666666,6,205.14999999999998,0
20903,VINTAGE KEEPSAKE BOX TRAVELOGUE,20,10,6.35,10,127.0,0
20906,VINTAGE NOTEBOOK BEAUTY GIRL,3,2,2.95,2,8.850000000000001,0
20910,VINTAGE PHOTO ALBUM PARIS DAYS,8,3,6.349999999999999,2,50.79999999999999,0
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,5882,763,2.95301404853129,356,17369.62863346105,1
20914,SET/5 RED SPOTTY LID GLASS BOWLS,288,1,2.55,1,734.4,0
20931,BLUE POT PLANT CANDLE ,263,37,3.114864864864865,35,819.2094594594595,0
20932,PINK POT PLANT CANDLE,189,22,3.0090909090909093,22,568.7181818181818,0
20933,YELLOW POT PLANT CANDLE,23,9,3.127777777777778,9,71.9388888888889,0
20934,SET/3 POT PLANT CANDLES,54,20,5.45,20,294.3,0
20935,ROUND CACTUS CANDLE,6,4,2.95,4,17.700000000000003,0
20936,FORKED CACTUS CANDLE,92,26,3.0876923076923077,21,284.0676923076923,0
20941,FROG CANDLE,61,17,1.25,13,76.25,0
20956,PORCELAIN T-LIGHT HOLDERS ASSORTED,730,59,1.289672131147541,51,941.4606557377049,1
20961,STRAWBERRY BATH SPONGE ,1029,127,1.3151538461538461,82,1353.2933076923077,1
20963,APPLE BATH SPONGE,1102,122,1.326825396825397,83,1462.1615873015874,1
20964,POLYESTER FILLER PAD 60x40cm,2,1,2.55,1,5.1,0
20966,SANDWICH BATH SPONGE,589,41,1.2453658536585366,28,733.520487804878,1
20967,GREY FLORAL FELTCRAFT SHOULDER BAG,257,75,3.75,63,963.75,0
20969,RED FLORAL FELTCRAFT SHOULDER BAG,1876,257,3.8192664092664095,157,7164.943783783784,1
20970,PINK FLORAL FELTCRAFT SHOULDER BAG,1081,230,3.7809051724137928,141,4087.15849137931,1
20971,PINK BLUE FELT CRAFT TRINKET BOX,10225,457,1.269508547008547,277,12980.724893162393,1
20972,PINK CREAM FELT CRAFT TRINKET BOX ,7131,535,1.2744545454545455,312,9088.135363636364,1
20973,12 PENCIL SMALL TUBE WOODLAND,4007,276,0.6654639175257732,191,2666.513917525773,1
20974,12 PENCILS SMALL TUBE SKULL,6734,291,0.6483498349834984,195,4365.987788778878,1
20975,12 PENCILS SMALL TUBE RED RETROSPOT,6400,307,0.6490476190476191,231,4153.904761904762,1
20977,36 PENCILS TUBE WOODLAND,1597,142,1.2486896551724138,111,1994.1573793103448,1
20978,36 PENCILS TUBE SKULLS,1631,179,1.248972972972973,133,2037.0749189189191,1
20979,36 PENCILS TUBE RED RETROSPOT,3523,230,1.2443162393162395,164,4383.726111111112,1
20980,36 PENCILS TUBE POSY,27,11,1.25,10,33.75,0
20981,12 PENCILS TALL TUBE WOODLAND,1851,208,0.85,157,1573.35,1
20982,12 PENCILS TALL TUBE SKULLS,2019,215,0.8494144144144143,158,1714.9677027027026,1
20983,12 PENCILS TALL TUBE RED RETROSPOT,2652,234,0.84948,185,2252.82096,1
20984,12 PENCILS TALL TUBE POSY,3809,167,0.36318181818181816,135,1383.3595454545455,1
20985,HEART CALCULATOR,1017,87,1.2779166666666668,65,1299.6412500000001,1
20986,BLUE CALCULATOR RULER,462,58,1.3207936507936506,40,610.2066666666666,1
20992,JAZZ HEARTS PURSE NOTEBOOK,4365,244,0.4600766283524904,162,2008.2344827586207,1
20996,JAZZ HEARTS ADDRESS BOOK,3057,184,0.2522872340425532,124,771.2420744680852,1
20997,ROSE DU SUD CUSHION COVER ,15,5,4.95,4,74.25,0
20998,ROSE DU SUD OVEN GLOVE,119,28,2.935714285714286,27,349.35,0
21000,ROSE DU SUD COSMETICS BAG,46,16,4.25,16,195.5,0
21001,ROSE DU SUD WASHBAG ,25,12,5.950000000000001,12,148.75000000000003,0
21002,ROSE DU SUD DRAWSTRING BAG,13,5,4.25,5,55.25,0
21003,ROSE DU SUD CUSHION COVER,13,6,6.349999999999999,6,82.54999999999998,0
21011,GLITTER SNOW PEAR TREE DECORATION,18,2,1.45,2,26.099999999999998,0
21012,ANTIQUE ALL GLASS CANDLESTICK,567,80,2.085180722891566,66,1182.2974698795178,1
21014,SWISS CHALET TREE DECORATION ,1233,66,0.41,64,505.53,1
21015,DARK BIRD HOUSE TREE DECORATION,1251,66,0.3229411764705882,59,403.9994117647058,1
21018,BIRD BOX CHRISTMAS TREE DECORATION,22,4,0.85,4,18.7,0
21025,SPACE FROG,100,16,1.465,14,146.5,0
21026,SPACE OWL,143,22,1.3392,20,191.5056,0
21027,NINJA RABBIT PINK,101,17,1.24,16,125.24,0
21028,NINJA RABBIT BLACK,116,21,1.52,15,176.32,0
21030,SPACE CADET RED,121,21,1.3026086956521739,19,157.61565217391305,0
